Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
伊藤 知樹,67.5-75,73.77857142857144,44.0,44.0,23.0,0.0,0.0,IPF,Asia,3.508872542933952,,407.5736931689842,750.0,46.054794520547944,720.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
伊藤 祥一,67.5-75,72.90714285714286,47.5,46.5,24.0,1.0,1.0,IPF,Asia,23.235009878741568,6.126710164049481,338.6920309325329,1318.0,51.11095890410959,1138.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
伊藤 良一,60-67.5,65.31666666666668,60.5,60.5,25.0,0.0,0.0,IPF,Asia,2.878990309507638,,350.45,0.0,60.5,690.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
内藤 雅文,67.5-75,73.64428571428572,55.0,55.0,25.0,0.0,1.0,IPF,Asia,17.378041555920976,8.797308859819394,408.73861771883986,1230.0,58.369863013698634,420.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
原 吉則,60-67.5,65.22000000000001,43.0,43.0,12.0,0.0,1.0,IPF,Asia,8.058815002841719,2.755916968986766,368.8935299527737,1620.0,47.43835616438356,1200.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
原田 勢司,75-83,81.2625,52.0,52.0,23.0,0.0,1.0,IPF,Asia,2.707826453430963,0.09619376245180786,357.62060637282497,1950.0,57.342465753424655,900.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
古市 三郎,60-67.5,64.67428571428572,70.0,70.0,23.0,0.0,0.0,IPF,Asia,5.544316476489743,3.344864972751997,294.8269919105839,1140.0,73.12328767123287,870.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
古賀 友太郎,83-93,91.52000000000001,26.5,25.5,26.0,1.0,1.0,IPF,Asia,17.65916248383506,5.463573425924769,442.87423988966657,2014.0,32.01780821917808,724.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
右田 一道,67.5-75,70.62375,63.0,63.0,23.0,0.0,0.0,IPF,Asia,14.93781543574956,4.85726531403749,234.73196690997554,1110.0,66.04109589041096,750.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
合田 隆宏,67.5-75,73.39,32.0,31.0,25.0,1.0,2.0,IPF,Asia,18.85507773982947,9.391357100785914,435.7583407067693,896.0,34.45479452054794,686.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
土屋 潤人,50-60,58.224999999999994,18.5,16.5,27.0,4.0,0.0,IPF,Asia,13.444218255815393,6.707546350530755,437.1374834778945,1495.0,22.595890410958905,1045.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
大光 智史,93-105,97.04,35.0,33.0,23.0,3.0,1.0,IPF,Asia,18.302841484336735,5.316707578208875,414.6171410384987,1607.0,39.4027397260274,1307.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
大村 和久,67.5-75,71.96666666666667,60.5,60.5,27.0,0.0,0.0,IPF,Asia,11.038669019328312,10.914028090752671,298.9350543354244,870.0,62.88356164383562,360.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
大橋 薫,67.5-75,73.67857142857143,48.0,48.0,23.0,0.0,0.0,IPF,Asia,2.8560919932484627,0.8567106525491128,369.07874138199463,810.0,50.21917808219178,270.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
大谷 朋男,75-83,82.64333333333333,52.0,52.0,23.0,0.0,1.0,IPF,Asia,2.528308263755078,2.424476445217759,346.8279042640639,1800.0,56.93150684931507,330.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
宮下 直幸,50-60,57.814285714285724,26.0,26.0,23.0,0.0,1.0,IPF,Asia,16.585946466508826,5.987980143359908,336.8459549904155,1740.0,30.767123287671232,1590.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
富田 英吉,50-60,57.859090909090924,42.0,42.0,23.0,0.0,0.0,IPF,Asia,17.62750730027164,,353.48,0.0,42.0,900.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
小川 明幸,60-67.5,65.55000000000001,47.5,47.5,23.0,0.0,0.0,IPF,Asia,1.728977313797605,,309.5560235419327,390.0,48.56849315068493,330.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
小林 勉,50-60,58.36333333333334,27.5,27.5,25.0,0.0,0.0,IPF,Asia,4.785816205273584,,401.7,0.0,27.5,1710.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
