Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
Hannah Matson,52-57,56.417500000000004,21.0,21.0,25.0,0.0,1.0,IPF,Europe,85.82522107051953,44.58060844653079,488.05746038683014,1050.0,23.876712328767123,240.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hannah Middlebrook,63-69,68.08125,23.5,23.5,26.0,0.0,0.0,IPF,Europe,78.37317505923433,33.9981628991421,389.0581309453135,690.0,25.39041095890411,180.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hannah Peterson #1,63-69,64.995,23.0,23.0,26.0,0.0,1.0,IPF,North America,82.52031856149769,19.223996968610503,487.47254619502814,930.0,25.54794520547945,450.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hannah Southwood,52-57,55.57000000000001,26.0,26.0,22.0,0.0,0.0,IPF,North America,30.74462031619707,7.099626160462471,427.6991484633925,1860.0,31.095890410958905,180.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hannah Taylor,57-63,61.18571428571429,18.0,18.0,26.0,0.0,0.0,IPF,Oceania,63.28609702104845,38.775802989881015,368.0517846736892,720.0,19.972602739726028,300.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Hannah Topp,76-84,81.53999999999999,23.5,23.5,21.0,0.0,0.0,IPF,Europe,7.618825301204963,20.674554240237946,378.28509197546197,780.0,25.636986301369863,60.0,True,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Harley Lang,100-120,114.94166666666666,18.5,18.5,24.0,0.0,0.0,IPF,North America,39.55245967741934,23.16607351892951,337.69367798001394,420.0,19.65068493150685,30.0,True,0,0,Americas,0.0,0.0,0.0,0.0
Hayley Milne,69-76,74.39999999999999,26.5,26.5,26.0,0.0,0.0,IPF,Other/Unknown,20.32573808981638,,367.00456917658846,690.0,28.39041095890411,600.0,False,0,0,Other,0.0,0.0,0.0,1.0
Hayley Rutherford,40-52,46.888888888888886,18.0,15.0,15.0,5.0,1.0,Non-IPF,Other/Unknown,5.269549452434214,10.821131758818641,291.7175397505809,1625.0,22.45205479452055,965.0,False,0,0,Other,1.0,0.0,0.0,1.0
Hazel Hu,40-52,50.53583333333333,29.0,29.0,18.0,0.0,1.0,IPF,Europe,80.68321558571428,34.52512979308337,448.0733518574209,1230.0,32.369863013698634,150.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Heather Ayles,52-57,56.5,44.5,42.5,18.0,3.0,1.0,IPF,North America,25.885736962402675,10.03095895050678,393.06118847881703,1744.0,49.278082191780825,1054.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Heather Faas,40-52,51.442499999999995,30.5,30.5,18.0,0.0,1.0,IPF,North America,20.436513738937993,8.99976148936505,454.58008925382194,3060.0,38.88356164383562,540.0,False,0,1,Americas,0.0,0.0,0.0,0.0
